Time_h,VPP1_PV_kW,VPP2_PV_kW,VPP3_PV_kW,VPP1_Wind_kW,VPP2_Wind_kW,VPP3_Wind_kW,VPP1_Gas_kW,VPP2_Gas_kW,VPP3_Gas_kW,VPP1_Bat_kW,VPP2_Bat_kW,VPP3_Bat_kW,VPP1_Load_kW,VPP2_Load_kW,VPP3_Load_kW,VPP1_Shed_kW,VPP2_Shed_kW,VPP3_Shed_kW,VPP1_Curtail_kW,VPP2_Curtail_kW,VPP3_Curtail_kW,VPP1_SOC,VPP2_SOC,VPP3_SOC,VPP1_Freq_Hz,VPP2_Freq_Hz,VPP3_Freq_Hz
13.5,154.101650315588,88.0937836304938,119.829466552354,130.519224661296,415.465122428859,88.6463648750164,0,0,0,0,0,-33.8850536887453,1120.32,896.256,784.224,0,0,0,78.0015826503465,133.460939957559,192.669151623539,0.9,0.9,0.245594261141648,50.1084344165961,50.0533331178653,50.0996499327203
13.6,145.934289475461,86.7588418305282,114.157385136063,127.495734879664,405.840834853232,86.59286372165,0,0,0,0,0,-28.2388333506912,1103.68,882.944,772.576,0,0,0,119.535531980569,98.2272316151731,200.750248857713,0.9,0.9,0.252089192812307,50.1104795775126,50.0533331609589,50.1003904205988
13.7,142.048231761575,88.0738038602464,116.492850884094,134.754036737697,428.94525704007,91.5225748546261,0,0,0,0,0,-36.1805599512564,1106.56,885.248,774.592,0,0,0,3.52573473479712,232.520035889936,146.20208676643,0.9,0.9,0.260410721601096,50.1117564324139,50.0533331954338,50.1011364111392
13.8,146.460441345996,88.6601997306069,115.325453029263,136.708852278385,435.167770850165,92.8502512343541,0,0,0,0,0,-25.3411221707298,1079.68,863.744,755.776,0,0,17.4899085363511,221.673999034587,39.9533364536005,208.175704263617,0.9,0.9,0.266239179700363,50.1135220919352,50.0533332230137,50.1018879452008
13.9,141.104995352003,86.3921970525419,112.727918421543,135.143499030989,430.184982450515,91.7870908034901,0,0,0,0,0,-26.5103084350544,1080.96,864.768,756.672,0,0,19.9124352719152,215.387639921962,43.2682720590921,204.515009225034,0.9,0.9,0.272336550640426,50.1151330665954,50.0533332450776,50.102645063952
14,140.94015036395,90.5744583040233,118.418059052985,120.864373673895,384.732072505198,82.0889596677442,0,0,0,0,0,-27.6881828248095,1061.76,849.408,743.232,22.1335186565067,0,47.8109892514211,261.804524037845,3.05870558530314,200.507018720729,0.9,0.9,0.278704832690132,50.1166183164033,50.0594971049943,50.1034078088716
14.1,144.994042473728,87.640642258662,122.615241273517,128.247181290899,408.232817919731,87.1032329253226,0,0,0,0,0,-40.87480989744,1026.56,821.248,718.592,0,0,0,0,236.792623050843,107.789944364932,0.9,0.9,0.288106038966543,50.1133759628086,50.0582643506621,50.1041762217503
14.2,141.554047550443,82.3667523313715,111.843144010492,154.732601501364,492.540462091508,105.091665127075,0,0,0,0,0,-30.070254690678,1052.96,842.368,737.072,150,0,120,0,187.46078557717,0,0.9,0.9,0.295022197545399,50.1816955497716,50.0643604218348,50.1407019701406
14.3,142.821082626611,87.1286402265948,114.31290076475,166.988946583516,531.554514797543,113.415959429359,0,0,0,0,0,-50.782424070157,1044.16,835.328,730.912,0,0,0,216.12283637656,117.936862554796,215.892286040609,0.9,0.9,0.306702155081535,50.1720231064839,50.0621550041345,50.1353325659885
14.4,140.825850618622,87.0247671902179,109.52164637201,180.821053061612,575.584486828745,122.810483194186,0,0,0,0,0,-49.014511188945,1002.4,801.92,701.68,0,0,0,293.332138427431,90.6260203328285,232.332129566196,0.9,0.9,0.317975492654993,50.1642851518538,50.0603906699743,50.1310743019774
14.5,140.0385241339,88.2494937552769,112.981242762171,156.445493065749,497.992890309277,106.25503099139,0,0,0,0,0,-51.5209591171774,995.2,796.16,696.64,0,0,0,154.308634272769,145.608262886628,179.640786835417,0.9,0.9,0.329825313251944,50.1580947881497,50.0589792026461,50.1277289027976
14.6,137.146296231657,79.8308115670177,106.867819674952,134.365323410122,427.707915716217,91.2585675901223,0,0,0,0,0,-40.1291683091804,995.04,796.032,696.528,61.9448198348411,0,56.2464491172109,271.511619641779,3.0587055853958,198.126387265074,0.9,0.9,0.339055021963055,50.1533414633888,50.0652792132064,50.1251336780126
14.7,127.914626549536,77.8619949587563,103.5200714768,132.048731357003,420.333805094089,89.6851789576028,0,0,0,0,0,-40.8614601323155,988.32,790.656,691.824,0,0,13.1195000119495,227.621644295334,28.1277982913333,193.205250434403,0.9,0.9,0.348453157793488,50.1493398373777,50.0628900372318,50.1231551370944
14.8,132.046390332674,82.5386134886572,106.077118851907,133.590140768715,425.240376149898,90.7320771558335,0,0,0,0,0,-41.697303319617,986.4,789.12,690.48,2.55144908260385,0,27.8314124986721,265.636531101388,2.78284207873234,196.80919600774,0.9,0.9,0.358043537557,50.146507612485,50.0615784000935,50.1216837501181
14.9,133.282595616619,78.8875761376973,106.19949916062,150.086714653021,477.751805836105,101.936260382716,0,0,0,0,0,-42.6198634255457,999.2,799.36,699.44,150,0,120,0,162.720618026157,0,0.9,0.9,0.367846106144875,50.2051390753543,50.0676808799637,50.1525368806121
15,135.092578976154,80.8464871135598,101.571057046846,122.317637245426,389.358060203442,83.0759907595686,0,0,0,0,0,-50.3158583304674,968.32,774.656,677.824,150,0,120,0,224.451452682971,0,0.9,0.9,0.379418753560883,50.2522325647873,50.0728158378296,50.1784952125596
15.1,125.582549127058,77.8801104883941,100.599260183902,148.420642456641,472.448411712822,100.804693410788,0,0,0,0,0,-57.2924768455527,958.88,767.104,671.216,150,0,120,0,136.775477798804,0,0.9,0.9,0.39259602323536,50.286436292952,50.0771578241158,50.1970767731478
15.2,123.095868793548,73.1707623511721,97.2110699816468,143.091137810342,455.483682523649,97.1849874655155,0,0,0,0,0,-62.9795566946703,951.68,761.344,666.176,150,0,120,0,152.68955512517,0,0.9,0.9,0.407081321275134,50.3138814334811,50.0808500765446,50.2129626850846
15.3,122.32710075589,73.8951415252311,95.5164667541987,135.924673398137,432.671594709572,92.3176507126598,0,0,0,0,0,-68.2863659328716,961.6,769.28,673.12,150,0,120,0,182.713263765237,0,0.9,0.9,0.422787185439694,50.3382182435643,50.0840101386544,50.2281797811964
15.4,116.730659048743,71.6277349581912,92.935809071108,123.782503658333,394.020981739791,84.070902297457,0,0,0,0,0,-73.6115829672141,973.92,779.136,681.744,150,0,120,0,233.48728330203,0,0.9,0.9,0.439717849522154,50.3616955064905,50.0867344701835,50.243657007837
15.5,113.930186010937,65.7057133796684,91.1463073530191,107.628241107178,342.599187854786,73.0992109154962,0,0,0,0,0,-79.14359837369,1001.92,801.536,701.344,150,0,120,0,313.23109876555,0,0.9,0.9,0.457920877148102,50.3867379482433,50.0891022302077,50.2610912169503
